date,party,value
1.3.2000,4Koalice,0.011
1.4.2000,4Koalice,0.012
1.5.2000,4Koalice,0.013
1.6.2000,4Koalice,0.033
1.10.2000,4Koalice,0.059
1.12.2000,4Koalice,0.091
1.1.2001,4Koalice,0.107
1.2.2001,4Koalice,0.087
1.3.2001,4Koalice,0.083
1.4.2001,4Koalice,0.099
1.5.2001,4Koalice,0.078
1.6.2001,4Koalice,0.062
1.7.2001,4Koalice,0.073
1.9.2001,4Koalice,0.089
1.10.2001,4Koalice,0.081
1.11.2001,4Koalice,0.049
1.1.2002,4Koalice,0.07
1.3.2002,4Koalice,0.024
1.4.2002,4Koalice,0.055
1.9.2002,4Koalice,0.006
1.10.2002,4Koalice,0.006
1.11.2002,4Koalice,0.013
1.1.2003,4Koalice,0.01
1.2.2003,4Koalice,0.027
1.3.2003,4Koalice,0.002
1.4.2003,4Koalice,0.005
1.5.2003,4Koalice,0.001
1.6.2003,4Koalice,0.01
1.9.2003,4Koalice,0.002
1.10.2003,4Koalice,0.03
1.2.2004,4Koalice,0.002
1.6.2005,4Koalice,0.001
1.9.2013,ANO,0.10455
1.10.2013,ANO,0.12915
1.11.2013,ANO,0.2091
1.1.2014,ANO,0.216125
1.2.2014,ANO,0.21
1.3.2014,ANO,0.2257
1.4.2014,ANO,0.2623
1.5.2014,ANO,0.2706
1.6.2014,ANO,0.248
1.9.2014,ANO,0.2375
1.10.2014,ANO,0.2562
1.11.2014,ANO,0.2625
1.12.2014,ANO,0.2583
1.1.2015,ANO,0.23985
1.2.2015,ANO,0.27965
1.3.2015,ANO,0.238
1.4.2015,ANO,0.26445
1.5.2015,ANO,0.275625
1.6.2015,ANO,0.2418
1.9.2015,ANO,0.2501
1.10.2015,ANO,0.244
1.11.2015,ANO,0.244
1.12.2015,ANO,0.2257
1.1.2016,ANO,0.224775
1.2.2016,ANO,0.228
1.2.1993,CSSD,0.071
1.3.1993,CSSD,0.111
1.4.1993,CSSD,0.14
1.6.1993,CSSD,0.127
1.9.1993,CSSD,0.127
1.12.1993,CSSD,0.107
1.7.1994,CSSD,0.112
1.1.1995,CSSD,0.142
1.3.1995,CSSD,0.15
1.4.1995,CSSD,0.174
1.5.1995,CSSD,0.195
1.6.1995,CSSD,0.22
1.7.1995,CSSD,0.221
1.8.1995,CSSD,0.233
1.9.1995,CSSD,0.185
1.10.1995,CSSD,0.167
1.11.1995,CSSD,0.169
1.12.1995,CSSD,0.148
1.1.1996,CSSD,0.186
1.2.1996,CSSD,0.17
1.3.1996,CSSD,0.151
1.4.1996,CSSD,0.167
1.8.1996,CSSD,0.261
1.9.1996,CSSD,0.239
1.10.1996,CSSD,0.252
1.11.1996,CSSD,0.252
1.12.1996,CSSD,0.227
1.1.1997,CSSD,0.217
1.2.1997,CSSD,0.21
1.3.1997,CSSD,0.189
1.4.1997,CSSD,0.232
1.7.1997,CSSD,0.28
1.9.1997,CSSD,0.258
1.10.1997,CSSD,0.258
1.11.1997,CSSD,0.293
1.12.1997,CSSD,0.271
1.1.1998,CSSD,0.286
1.2.1998,CSSD,0.288
1.3.1998,CSSD,0.252
1.4.1998,CSSD,0.251
1.5.1998,CSSD,0.221
1.6.1998,CSSD,0.225
1.9.1998,CSSD,0.279
1.10.1998,CSSD,0.287
1.11.1998,CSSD,0.245
1.12.1998,CSSD,0.238
1.1.1999,CSSD,0.286
1.2.1999,CSSD,0.25
1.3.1999,CSSD,0.255
1.4.1999,CSSD,0.206
1.5.1999,CSSD,0.192
1.6.1999,CSSD,0.176
1.7.1999,CSSD,0.151
1.9.1999,CSSD,0.14
1.10.1999,CSSD,0.143
1.1.2000,CSSD,0.134
1.2.2000,CSSD,0.147
1.3.2000,CSSD,0.138
1.4.2000,CSSD,0.167
1.5.2000,CSSD,0.148
1.6.2000,CSSD,0.162
1.9.2000,CSSD,0.198
1.10.2000,CSSD,0.194
1.12.2000,CSSD,0.128
1.1.2001,CSSD,0.124
1.2.2001,CSSD,0.141
